ITEM_ID;ARTICULO;PRODUCTO;MARCA
16008;P.DULCE GEORGALOS POUCH 700 gr;P.DULCE;GEORGALOS
1946110;P.DULCE MAROLIO FRUT.SECA 600 gr;P.DULCE;MAROLIO
6224;P.DULCE NOEL C.ALMEN 600 gr;P.DULCE;NOEL
8189;P.DULCE POW.RANGER 600 gr;P.DULCE;POW.RANGER
8190;P.DULCE POW.RANGER 600 gr;P.DULCE;MARINEX
8191;P.DULCE POW.RANGER 600 gr;P.DULCE;MARINEX
1946120;P.DULCE MAROLIO FRUT.SECA 600 gr;P.DULCE;MAROLIO
2237;PANO EL COLOSO BOBLE CARA;PAÑO;EL COLOSO
2506;PANO EL COLOSO ANTIBAC;PAÑO;EL COLOSO
7600;PANO EL COLOSO GRIS CONSOR;PAÑO;EL COLOSO
7669;PANO EL COLOSO COL.COMP;PAÑO;EL COLOSO
8799;PANO EL COLOSO GRIS SUPER;PAÑO;EL COLOSO
9772;PANO EL COLOSO BCO.SUP;PAÑO;EL COLOSO
9174;PANO EL COLOSO MULTIUSO;PAÑO;EL COLOSO
9241;PANO EL COLOSO PISO;PAÑO;EL COLOSO
9242;PANO EL COLOSO PISO;PAÑO;EL COLOSO
6048;SALCHI. EMEZETA PRIMAVERA 1 kg;SALCHICHON;EMEZETA
